trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-119.74285550765377,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-82.17934725102046,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-184.1275756855946,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-269.1310403635773,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-121.2822085568021,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-189.56354518500714,"{0: 18, 1: 6, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-144.73214726165205,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-123.4539273373641,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-178.56119797105822,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-34.400512649202234,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",35,0,-254.7981855241243,"{0: 17, 1: 4, 2: 7, 3: 5, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-94.99565933697811,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,12,-26.156482950542344,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-50.8298048964607,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-112.21146138611795,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-64.99402868302688,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,5,-30.310051527312083,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-156.9357231189184,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,1,-122.03354594599391,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-85.90870611190466,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-11.779176948770193,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,6,-45.27275162887287,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-127.67701703732743,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,7,-55.12059249280825,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-154.82547032063695,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-35.464704767748444,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-84.82211362158479,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-122.99743430141646,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",35,0,-109.34732644666664,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-74.76386008665865,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",35,0,-96.12594777518933,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-167.8888024884613,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,4,23.30623036247247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-97.30808908385637,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",35,0,-99.81626832840597,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-62.1409097746147,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,6,-68.32030703278943,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,0,-66.86800306061326,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,15,-24.85083379781002,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,11,-31.895004600589242,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-37.2694364110336,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,12,-14.214453325588904,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-30.672226204150885,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,0,-155.45450381707977,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,13,-68.57916834165238,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",30,16,-25.31497990278039,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",35,0,-194.1333958999016,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,1,-107.7547487690657,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-74.47789339484726,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,13,-47.707625080178424,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-61.766705099830226,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-65.54315999083157,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-13.306364392331972,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,11,-22.636721981099722,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,6,12.107409251190047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,0,-62.47429754362547,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,0,-52.5028346286333,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,1,24.97559742255027,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-35.20843443810546,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,5,-38.518203791940294,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-29.31065858701857,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,8,-22.451978669799356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,0,-36.68421989702907,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-36.5976387167238,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-89.62446923725146,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,4,-11.242610067464405,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",35,9,19.359135577149896,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,8,-15.70165512357139,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,0,-86.15921048865539,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-25.815600461443534,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",30,0,-88.89644585362099,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-74.83527511137677,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,0,-9.759275132057306,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,14,-1.0501775289030872,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,7,-14.612317309481476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,12,-54.80749414469867,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,4,-9.915176538011902,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,2,-7.2072180561296015,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,14,8.585976287543073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-7.557991045413143,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,7,-74.69306740149838,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 1}",1
