trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.10573932913167,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.12889169523152,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.84326923364037,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.32548451115426,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.18244609982754,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.62705321182455,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.51231417218335,"{0: 14, 1: 7, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.36862519109285,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.36901984158692,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-272.20917056339033,"{0: 16, 1: 5, 2: 9, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.6107065027765,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-23.099954308886545,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,2,-91.98322241665434,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.8573358799803,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
